entity_type,entity_value,count
ORG,Monday,10
ORG,Pittsburgh,10
ORG,Broncos,9
ORG,Carolina,9
ORG,Eagles,9
ORG,Atlanta,7
ORG,Green Bay,7
ORG,Lincoln University,7
ORG,Redskins,7
ORG,School District,7
ORG,Buffalo,6
ORG,Cleveland,6
ORG,Monday N,6
ORG,Detroit,5
ORG,Giants,5
ORG,Jets,5
ORG,Kansas City,5
ORG,New England Patriots,4
ORG,New Orleans Saints,4
ORG,Arizona,3
ORG,Baltimore Ravens,3
ORG,City,3
ORG,Indianapolis Colts,3
ORG,Ivanhoe Club,3
ORG,Minnesota,3
ORG,New England,3
ORG,New Orleans,3
ORG,Oakland Raiders,3
ORG,Seattle,3
ORG,Swope Health Services,3
ORG,Washington,3
ORG,49Rs,2
ORG,Baltimore,2
ORG,Behavioral Health,2
ORG,Denver Broncos,2
ORG,Espn,2
ORG,Falcons,2
ORG,Groove,2
ORG,Hot 103,2
ORG,Indianapolis,2
ORG,Ivanhoe,2
ORG,Jackson County,2
ORG,K.C,2
ORG,Kctv,2
ORG,Lincoln High School,2
ORG,Miami,2
ORG,Missouri University,2
ORG,Monday Nit,2
ORG,Monday Nite Footballers Group,2
ORG,Naacp,2
ORG,Navy,2
ORG,Pittsburg State,2
ORG,San Diego Chargers,2
ORG,Sports,2
ORG,St. James,2
ORG,St. Louis Rams,2
ORG,Steelers,2
ORG,Tennessee,2
ORG,Tennessee Titans,2
ORG,11 Mcgee,1
ORG,6902 Board Of Directors,1
ORG,6902 Club,1
ORG,6902 School,1
ORG,A Team,1
ORG,Aints,1
ORG,Air Force,1
ORG,Anes,1
ORG,At And T,1
ORG,B Boys,1
ORG,Bba Cleaver,1
ORG,Bendix,1
ORG,Best Buy,1
ORG,"Birdland, 20-Mens Club",1
ORG,Board,1
ORG,Brady Bunch,1
ORG,Buccaneers,1
ORG,Buffalo-Chiefs,1
ORG,Buffalo Bills,1
ORG,Buffalo Soldiers,1
ORG,C.A. Franklin,1
ORG,Candy Stripers,1
ORG,Cardinals,1
ORG,Carter Broadcast Group,1
ORG,Cbs,1
ORG,Charges,1
ORG,Cheaps,1
ORG,Chefs,1
ORG,Chiefs Haters,1
ORG,Christian School,1
ORG,Cincinnati Bengals,1
ORG,Citizens,1
ORG,Citizens’ Complaints Of The Police Department,1
ORG,City Union Mission,1
ORG,Cnn,1
ORG,Cnn Of Kansas City,1
ORG,Colgate,1
ORG,Complaints,1
ORG,Congressional Black Caucus,1
ORG,Corvette,1
ORG,Dallas,1
ORG,Dallas Cowboys,1
ORG,Denver-Chiefs,1
ORG,Desegregation Task Force,1
ORG,Detroit Lions,1
ORG,District,1
ORG,Dominoes,1
ORG,Ebony,1
ORG,Ever,1
ORG,Flamingoes,1
ORG,Frank,1
ORG,Freedom School,1
ORG,Full Employment Council,1
ORG,"Gates, Niecies",1
ORG,Generation Rap,1
ORG,Go-Along,1
ORG,Go-Along Club,1
ORG,Go Along Club,1
ORG,Grandview,1
ORG,Grandview Middle,1
ORG,Greenwood,1
ORG,Hbc,1
ORG,Healthcare Foundation,1
ORG,Houston Texans,1
ORG,Howard,1
ORG,Hunts,1
ORG,Indy,1
ORG,Ines,1
ORG,Ist,1
ORG,Istead,1
ORG,Itation Catholic,1
ORG,Iter,1
ORG,Jackson,1
ORG,Jackson County Combat,1
